CHEMICAL,DISEASE,relación,oración
SHV-11,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
tigecycline,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
tigecycline,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
polymyxin B,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
polymyxin B,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
ceftazidime-avibactam,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
ceftazidime-avibactam,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
aztreonam,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
aztreonam,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
amikacin,CTX-M-3,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
amikacin,SHV-1,otro,"RESULTS: The 150 strains of CRKP exhibit high resistance rates to various conventional drugs; The sensitivity rates to tigecycline, polymyxin B, and ceftazidime-avibactam were 98.7, 98.0, and 68%, respectively; Conversely, the sensitivity rates to fosfomycin, amikacin, and chloramphenicol were 72.0, 40.0, and 16.7%, respectively; The main proportions of carbapemen genes producing in CRKP are as follows: KPC-2 (61.3%), NDM-5 (14.7%), IMP-4 (8.0%), OXA-232 (6.0%), and OXA-181 (1.3%); The main proportions of beta-lactamase resistance genes are as follows: CTX-M-1 (13.33%), CTX-M-3 (25.33%), CTX-M-9 (17.33%), CTX-M-14 (34.67%), SHV-1 (26.66%), SHV-11 (66.66%), SHV-12 (18.66%), and SHV-28 (10.00%); CRKP carrying class A, B, and D carbapenemases had a sensitivity rate greater than 96% for tigecycline and polymyxin B, while their sensitivities to ceftazidime-avibactam, aztreonam, and amikacin varied significantly (p < 0.01)."
amoxicillin/clavulanic acid,diabetic foot ulcers,otro,METHODS: Patients with infected diabetic foot ulcers (iDFUs) were treated with two kinds of beta-lactams (amoxicillin/clavulanic acid or ceftazidime) according to microbial sensitivity of causative agents via bolus or continuous administration modes.
ceftazidime,diabetic foot ulcers,otro,METHODS: Patients with infected diabetic foot ulcers (iDFUs) were treated with two kinds of beta-lactams (amoxicillin/clavulanic acid or ceftazidime) according to microbial sensitivity of causative agents via bolus or continuous administration modes.
Fusobacterium,Porphyromonas,otro,"METHODS: We performed AST of 46 strains of Aggregatibacter actinomycetemcomitans, Fusobacterium nucleatum complex, Prevotella species, and Porphyromonas gingivalis, with a combination disk of amoxicillin (AMX) and metronidazole (MET)."
amoxicillin,Porphyromonas,otro,"METHODS: We performed AST of 46 strains of Aggregatibacter actinomycetemcomitans, Fusobacterium nucleatum complex, Prevotella species, and Porphyromonas gingivalis, with a combination disk of amoxicillin (AMX) and metronidazole (MET)."
AMX,Porphyromonas,otro,"METHODS: We performed AST of 46 strains of Aggregatibacter actinomycetemcomitans, Fusobacterium nucleatum complex, Prevotella species, and Porphyromonas gingivalis, with a combination disk of amoxicillin (AMX) and metronidazole (MET)."
metronidazole,Porphyromonas,otro,"METHODS: We performed AST of 46 strains of Aggregatibacter actinomycetemcomitans, Fusobacterium nucleatum complex, Prevotella species, and Porphyromonas gingivalis, with a combination disk of amoxicillin (AMX) and metronidazole (MET)."
TDM,TB,causa,TDM has been recommended for PLWH on anti-tuberculosis treatment due to sub-optimal drug concentrations found in a significant proportion of those with TB.
rifampicin,tuberculosis,otro,OBJECTIVES: The main objectives of this study are to determine the concentrations of selected antimicrobial agents in people living with HIV requiring antimicrobial therapy and to assess the utility of therapeutic drug monitoring in achieving therapeutic targets for PLWH receiving rifampicin and isoniazid for the treatment of tuberculosis.
isoniazid,tuberculosis,otro,OBJECTIVES: The main objectives of this study are to determine the concentrations of selected antimicrobial agents in people living with HIV requiring antimicrobial therapy and to assess the utility of therapeutic drug monitoring in achieving therapeutic targets for PLWH receiving rifampicin and isoniazid for the treatment of tuberculosis.
TDM,TB,otro,TDM with dose adjustment will be performed in a subset of participants on TB treatment.
anti-MSSA,methicillin-susceptible Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022)."
anti-MSSA,methicillin-resistant Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022)."
ASP,methicillin-susceptible Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022)."
ASP,methicillin-resistant Staphylococcus aureus,comparación,"MATERIALS AND METHODS: Retrospective cohort study comparing consumption in DDD per 1000 beds-day and DDD per 1000 admissions across groups of anti-infectives, antibacterial groups, agents against methicillin-susceptible Staphylococcus aureus (anti-MSSA agents)/agents against methicillin-resistant Staphylococcus aureus (anti-MRSA agents), antibiotics targeting sensitive Gram-negative bacteria/antibiotics targeting resistant Gram-negative bacteria and antimicrobial agents, during two comparative periods of ASP activity (2 weekly meetings in 2023 versus 1 weekly meeting in 2022)."
